slug,character,unicodeName,codePoint,group,subGroup,variants,description
e1-0-grinning-face,😀,E1.0 grinning face,1F600,smileys-emotion,face-smiling,,grinning face
e0-6-grinning-face-with-big-eyes,😃,E0.6 grinning face with big eyes,1F603,smileys-emotion,face-smiling,,grinning face with big eyes
e0-6-grinning-face-with-smiling-eyes,😄,E0.6 grinning face with smiling eyes,1F604,smileys-emotion,face-smiling,,grinning face with smiling eyes
e0-6-beaming-face-with-smiling-eyes,😁,E0.6 beaming face with smiling eyes,1F601,smileys-emotion,face-smiling,,beaming face with smiling eyes
e0-6-grinning-squinting-face,😆,E0.6 grinning squinting face,1F606,smileys-emotion,face-smiling,,grinning squinting face
e0-6-grinning-face-with-sweat,😅,E0.6 grinning face with sweat,1F605,smileys-emotion,face-smiling,,grinning face with sweat
e3-0-rolling-on-the-floor-laughing,🤣,E3.0 rolling on the floor laughing,1F923,smileys-emotion,face-smiling,,rolling on the floor laughing
e0-6-face-with-tears-of-joy,😂,E0.6 face with tears of joy,1F602,smileys-emotion,face-smiling,,face with tears of joy
e1-0-slightly-smiling-face,🙂,E1.0 slightly smiling face,1F642,smileys-emotion,face-smiling,,slightly smiling face
e1-0-upside-down-face,🙃,E1.0 upside-down face,1F643,smileys-emotion,face-smiling,,upside-down face
e14-0-melting-face,🫠,E14.0 melting face,1FAE0,smileys-emotion,face-smiling,,melting face
e0-6-winking-face,😉,E0.6 winking face,1F609,smileys-emotion,face-smiling,,winking face
e0-6-smiling-face-with-smiling-eyes,😊,E0.6 smiling face with smiling eyes,1F60A,smileys-emotion,face-smiling,,smiling face with smiling eyes
e1-0-smiling-face-with-halo,😇,E1.0 smiling face with halo,1F607,smileys-emotion,face-smiling,,smiling face with halo
e11-0-smiling-face-with-hearts,🥰,E11.0 smiling face with hearts,1F970,smileys-emotion,face-affection,,smiling face with hearts
e0-6-smiling-face-with-heart-eyes,😍,E0.6 smiling face with heart-eyes,1F60D,smileys-emotion,face-affection,,smiling face with heart-eyes
e5-0-star-struck,🤩,E5.0 star-struck,1F929,smileys-emotion,face-affection,,star-struck
e0-6-face-blowing-a-kiss,😘,E0.6 face blowing a kiss,1F618,smileys-emotion,face-affection,,face blowing a kiss
e1-0-kissing-face,😗,E1.0 kissing face,1F617,smileys-emotion,face-affection,,kissing face
e0-6-smiling-face,☺️,E0.6 smiling face,263A FE0F,smileys-emotion,face-affection,,smiling face
e0-6-kissing-face-with-closed-eyes,😚,E0.6 kissing face with closed eyes,1F61A,smileys-emotion,face-affection,,kissing face with closed eyes
e1-0-kissing-face-with-smiling-eyes,😙,E1.0 kissing face with smiling eyes,1F619,smileys-emotion,face-affection,,kissing face with smiling eyes
e13-0-smiling-face-with-tear,🥲,E13.0 smiling face with tear,1F972,smileys-emotion,face-affection,,smiling face with tear
e0-6-face-savoring-food,😋,E0.6 face savoring food,1F60B,smileys-emotion,face-tongue,,face savoring food
e1-0-face-with-tongue,😛,E1.0 face with tongue,1F61B,smileys-emotion,face-tongue,,face with tongue
e0-6-winking-face-with-tongue,😜,E0.6 winking face with tongue,1F61C,smileys-emotion,face-tongue,,winking face with tongue
e5-0-zany-face,🤪,E5.0 zany face,1F92A,smileys-emotion,face-tongue,,zany face
e0-6-squinting-face-with-tongue,😝,E0.6 squinting face with tongue,1F61D,smileys-emotion,face-tongue,,squinting face with tongue
e1-0-money-mouth-face,🤑,E1.0 money-mouth face,1F911,smileys-emotion,face-tongue,,money-mouth face
e1-0-smiling-face-with-open-hands,🤗,E1.0 smiling face with open hands,1F917,smileys-emotion,face-hand,,smiling face with open hands
e5-0-face-with-hand-over-mouth,🤭,E5.0 face with hand over mouth,1F92D,smileys-emotion,face-hand,,face with hand over mouth
e14-0-face-with-open-eyes-and-hand-over-mouth,🫢,E14.0 face with open eyes and hand over mouth,1FAE2,smileys-emotion,face-hand,,face with open eyes and hand over mouth
e14-0-face-with-peeking-eye,🫣,E14.0 face with peeking eye,1FAE3,smileys-emotion,face-hand,,face with peeking eye
e5-0-shushing-face,🤫,E5.0 shushing face,1F92B,smileys-emotion,face-hand,,shushing face
e1-0-thinking-face,🤔,E1.0 thinking face,1F914,smileys-emotion,face-hand,,thinking face
e14-0-saluting-face,🫡,E14.0 saluting face,1FAE1,smileys-emotion,face-hand,,saluting face
e1-0-zipper-mouth-face,🤐,E1.0 zipper-mouth face,1F910,smileys-emotion,face-neutral-skeptical,,zipper-mouth face
e5-0-face-with-raised-eyebrow,🤨,E5.0 face with raised eyebrow,1F928,smileys-emotion,face-neutral-skeptical,,face with raised eyebrow
e0-7-neutral-face,😐,E0.7 neutral face,1F610,smileys-emotion,face-neutral-skeptical,,neutral face
e1-0-expressionless-face,😑,E1.0 expressionless face,1F611,smileys-emotion,face-neutral-skeptical,,expressionless face
e1-0-face-without-mouth,😶,E1.0 face without mouth,1F636,smileys-emotion,face-neutral-skeptical,,face without mouth
e14-0-dotted-line-face,🫥,E14.0 dotted line face,1FAE5,smileys-emotion,face-neutral-skeptical,,dotted line face
e13-1-face-in-clouds,😶‍🌫️,E13.1 face in clouds,1F636 200D 1F32B FE0F,smileys-emotion,face-neutral-skeptical,,face in clouds
e0-6-smirking-face,😏,E0.6 smirking face,1F60F,smileys-emotion,face-neutral-skeptical,,smirking face
e0-6-unamused-face,😒,E0.6 unamused face,1F612,smileys-emotion,face-neutral-skeptical,,unamused face
e1-0-face-with-rolling-eyes,🙄,E1.0 face with rolling eyes,1F644,smileys-emotion,face-neutral-skeptical,,face with rolling eyes
e1-0-grimacing-face,😬,E1.0 grimacing face,1F62C,smileys-emotion,face-neutral-skeptical,,grimacing face
e13-1-face-exhaling,😮‍💨,E13.1 face exhaling,1F62E 200D 1F4A8,smileys-emotion,face-neutral-skeptical,,face exhaling
e3-0-lying-face,🤥,E3.0 lying face,1F925,smileys-emotion,face-neutral-skeptical,,lying face
e15-0-shaking-face,🫨,E15.0 shaking face,1FAE8,smileys-emotion,face-neutral-skeptical,,shaking face
e0-6-relieved-face,😌,E0.6 relieved face,1F60C,smileys-emotion,face-sleepy,,relieved face
e0-6-pensive-face,😔,E0.6 pensive face,1F614,smileys-emotion,face-sleepy,,pensive face
e0-6-sleepy-face,😪,E0.6 sleepy face,1F62A,smileys-emotion,face-sleepy,,sleepy face
e3-0-drooling-face,🤤,E3.0 drooling face,1F924,smileys-emotion,face-sleepy,,drooling face
e1-0-sleeping-face,😴,E1.0 sleeping face,1F634,smileys-emotion,face-sleepy,,sleeping face
e0-6-face-with-medical-mask,😷,E0.6 face with medical mask,1F637,smileys-emotion,face-unwell,,face with medical mask
e1-0-face-with-thermometer,🤒,E1.0 face with thermometer,1F912,smileys-emotion,face-unwell,,face with thermometer
e1-0-face-with-head-bandage,🤕,E1.0 face with head-bandage,1F915,smileys-emotion,face-unwell,,face with head-bandage
e3-0-nauseated-face,🤢,E3.0 nauseated face,1F922,smileys-emotion,face-unwell,,nauseated face
e5-0-face-vomiting,🤮,E5.0 face vomiting,1F92E,smileys-emotion,face-unwell,,face vomiting
e3-0-sneezing-face,🤧,E3.0 sneezing face,1F927,smileys-emotion,face-unwell,,sneezing face
e11-0-hot-face,🥵,E11.0 hot face,1F975,smileys-emotion,face-unwell,,hot face
e11-0-cold-face,🥶,E11.0 cold face,1F976,smileys-emotion,face-unwell,,cold face
e11-0-woozy-face,🥴,E11.0 woozy face,1F974,smileys-emotion,face-unwell,,woozy face
e0-6-face-with-crossed-out-eyes,😵,E0.6 face with crossed-out eyes,1F635,smileys-emotion,face-unwell,"[{'slug': 'e13-1-face-with-spiral-eyes', 'character': '😵\u200d💫'}]",face with crossed-out eyes
e5-0-exploding-head,🤯,E5.0 exploding head,1F92F,smileys-emotion,face-unwell,,exploding head
e3-0-cowboy-hat-face,🤠,E3.0 cowboy hat face,1F920,smileys-emotion,face-hat,,cowboy hat face
e11-0-partying-face,🥳,E11.0 partying face,1F973,smileys-emotion,face-hat,,partying face
e13-0-disguised-face,🥸,E13.0 disguised face,1F978,smileys-emotion,face-hat,,disguised face
e1-0-smiling-face-with-sunglasses,😎,E1.0 smiling face with sunglasses,1F60E,smileys-emotion,face-glasses,,smiling face with sunglasses
e1-0-nerd-face,🤓,E1.0 nerd face,1F913,smileys-emotion,face-glasses,,nerd face
e5-0-face-with-monocle,🧐,E5.0 face with monocle,1F9D0,smileys-emotion,face-glasses,,face with monocle
e1-0-confused-face,😕,E1.0 confused face,1F615,smileys-emotion,face-concerned,,confused face
e14-0-face-with-diagonal-mouth,🫤,E14.0 face with diagonal mouth,1FAE4,smileys-emotion,face-concerned,,face with diagonal mouth
e1-0-worried-face,😟,E1.0 worried face,1F61F,smileys-emotion,face-concerned,,worried face
e1-0-slightly-frowning-face,🙁,E1.0 slightly frowning face,1F641,smileys-emotion,face-concerned,,slightly frowning face
e0-7-frowning-face,☹️,E0.7 frowning face,2639 FE0F,smileys-emotion,face-concerned,,frowning face
e1-0-face-with-open-mouth,😮,E1.0 face with open mouth,1F62E,smileys-emotion,face-concerned,,face with open mouth
e1-0-hushed-face,😯,E1.0 hushed face,1F62F,smileys-emotion,face-concerned,,hushed face
e0-6-astonished-face,😲,E0.6 astonished face,1F632,smileys-emotion,face-concerned,,astonished face
e0-6-flushed-face,😳,E0.6 flushed face,1F633,smileys-emotion,face-concerned,,flushed face
e11-0-pleading-face,🥺,E11.0 pleading face,1F97A,smileys-emotion,face-concerned,,pleading face
e14-0-face-holding-back-tears,🥹,E14.0 face holding back tears,1F979,smileys-emotion,face-concerned,,face holding back tears
e1-0-frowning-face-with-open-mouth,😦,E1.0 frowning face with open mouth,1F626,smileys-emotion,face-concerned,,frowning face with open mouth
e1-0-anguished-face,😧,E1.0 anguished face,1F627,smileys-emotion,face-concerned,,anguished face
e0-6-fearful-face,😨,E0.6 fearful face,1F628,smileys-emotion,face-concerned,,fearful face
e0-6-anxious-face-with-sweat,😰,E0.6 anxious face with sweat,1F630,smileys-emotion,face-concerned,,anxious face with sweat
e0-6-sad-but-relieved-face,😥,E0.6 sad but relieved face,1F625,smileys-emotion,face-concerned,,sad but relieved face
e0-6-crying-face,😢,E0.6 crying face,1F622,smileys-emotion,face-concerned,,crying face
e0-6-loudly-crying-face,😭,E0.6 loudly crying face,1F62D,smileys-emotion,face-concerned,,loudly crying face
e0-6-face-screaming-in-fear,😱,E0.6 face screaming in fear,1F631,smileys-emotion,face-concerned,,face screaming in fear
e0-6-confounded-face,😖,E0.6 confounded face,1F616,smileys-emotion,face-concerned,,confounded face
e0-6-persevering-face,😣,E0.6 persevering face,1F623,smileys-emotion,face-concerned,,persevering face
e0-6-disappointed-face,😞,E0.6 disappointed face,1F61E,smileys-emotion,face-concerned,,disappointed face
e0-6-downcast-face-with-sweat,😓,E0.6 downcast face with sweat,1F613,smileys-emotion,face-concerned,,downcast face with sweat
e0-6-weary-face,😩,E0.6 weary face,1F629,smileys-emotion,face-concerned,,weary face
e0-6-tired-face,😫,E0.6 tired face,1F62B,smileys-emotion,face-concerned,,tired face
e12-0-yawning-face,🥱,E12.0 yawning face,1F971,smileys-emotion,face-concerned,,yawning face
e0-6-face-with-steam-from-nose,😤,E0.6 face with steam from nose,1F624,smileys-emotion,face-negative,,face with steam from nose
e0-6-enraged-face,😡,E0.6 enraged face,1F621,smileys-emotion,face-negative,,enraged face
e0-6-angry-face,😠,E0.6 angry face,1F620,smileys-emotion,face-negative,,angry face
e5-0-face-with-symbols-on-mouth,🤬,E5.0 face with symbols on mouth,1F92C,smileys-emotion,face-negative,,face with symbols on mouth
e1-0-smiling-face-with-horns,😈,E1.0 smiling face with horns,1F608,smileys-emotion,face-negative,,smiling face with horns
e0-6-angry-face-with-horns,👿,E0.6 angry face with horns,1F47F,smileys-emotion,face-negative,,angry face with horns
e0-6-skull,💀,E0.6 skull,1F480,smileys-emotion,face-negative,,skull
e1-0-skull-and-crossbones,☠️,E1.0 skull and crossbones,2620 FE0F,smileys-emotion,face-negative,,skull and crossbones
e0-6-pile-of-poo,💩,E0.6 pile of poo,1F4A9,smileys-emotion,face-costume,,pile of poo
e3-0-clown-face,🤡,E3.0 clown face,1F921,smileys-emotion,face-costume,,clown face
e0-6-ogre,👹,E0.6 ogre,1F479,smileys-emotion,face-costume,,ogre
e0-6-goblin,👺,E0.6 goblin,1F47A,smileys-emotion,face-costume,,goblin
e0-6-ghost,👻,E0.6 ghost,1F47B,smileys-emotion,face-costume,,ghost
e0-6-alien,👽,E0.6 alien,1F47D,smileys-emotion,face-costume,,alien
e0-6-alien-monster,👾,E0.6 alien monster,1F47E,smileys-emotion,face-costume,,alien monster
e1-0-robot,🤖,E1.0 robot,1F916,smileys-emotion,face-costume,,robot
e0-6-grinning-cat,😺,E0.6 grinning cat,1F63A,smileys-emotion,cat-face,,grinning cat
e0-6-grinning-cat-with-smiling-eyes,😸,E0.6 grinning cat with smiling eyes,1F638,smileys-emotion,cat-face,,grinning cat with smiling eyes
e0-6-cat-with-tears-of-joy,😹,E0.6 cat with tears of joy,1F639,smileys-emotion,cat-face,,cat with tears of joy
e0-6-smiling-cat-with-heart-eyes,😻,E0.6 smiling cat with heart-eyes,1F63B,smileys-emotion,cat-face,,smiling cat with heart-eyes
e0-6-cat-with-wry-smile,😼,E0.6 cat with wry smile,1F63C,smileys-emotion,cat-face,,cat with wry smile
e0-6-kissing-cat,😽,E0.6 kissing cat,1F63D,smileys-emotion,cat-face,,kissing cat
e0-6-weary-cat,🙀,E0.6 weary cat,1F640,smileys-emotion,cat-face,,weary cat
e0-6-crying-cat,😿,E0.6 crying cat,1F63F,smileys-emotion,cat-face,,crying cat
e0-6-pouting-cat,😾,E0.6 pouting cat,1F63E,smileys-emotion,cat-face,,pouting cat
e0-6-see-no-evil-monkey,🙈,E0.6 see-no-evil monkey,1F648,smileys-emotion,monkey-face,,see-no-evil monkey
e0-6-hear-no-evil-monkey,🙉,E0.6 hear-no-evil monkey,1F649,smileys-emotion,monkey-face,,hear-no-evil monkey
e0-6-speak-no-evil-monkey,🙊,E0.6 speak-no-evil monkey,1F64A,smileys-emotion,monkey-face,,speak-no-evil monkey
e0-6-love-letter,💌,E0.6 love letter,1F48C,smileys-emotion,heart,,love letter
e0-6-heart-with-arrow,💘,E0.6 heart with arrow,1F498,smileys-emotion,heart,,heart with arrow
e0-6-heart-with-ribbon,💝,E0.6 heart with ribbon,1F49D,smileys-emotion,heart,,heart with ribbon
e0-6-sparkling-heart,💖,E0.6 sparkling heart,1F496,smileys-emotion,heart,,sparkling heart
e0-6-growing-heart,💗,E0.6 growing heart,1F497,smileys-emotion,heart,,growing heart
e0-6-beating-heart,💓,E0.6 beating heart,1F493,smileys-emotion,heart,,beating heart
e0-6-revolving-hearts,💞,E0.6 revolving hearts,1F49E,smileys-emotion,heart,,revolving hearts
e0-6-two-hearts,💕,E0.6 two hearts,1F495,smileys-emotion,heart,,two hearts
e0-6-heart-decoration,💟,E0.6 heart decoration,1F49F,smileys-emotion,heart,,heart decoration
e1-0-heart-exclamation,❣️,E1.0 heart exclamation,2763 FE0F,smileys-emotion,heart,,heart exclamation
e0-6-broken-heart,💔,E0.6 broken heart,1F494,smileys-emotion,heart,,broken heart
e13-1-heart-on-fire,❤️‍🔥,E13.1 heart on fire,2764 FE0F 200D 1F525,smileys-emotion,heart,,heart on fire
e13-1-mending-heart,❤️‍🩹,E13.1 mending heart,2764 FE0F 200D 1FA79,smileys-emotion,heart,,mending heart
e0-6-red-heart,❤️,E0.6 red heart,2764 FE0F,smileys-emotion,heart,,red heart
e15-0-pink-heart,🩷,E15.0 pink heart,1FA77,smileys-emotion,heart,,pink heart
e5-0-orange-heart,🧡,E5.0 orange heart,1F9E1,smileys-emotion,heart,,orange heart
e0-6-yellow-heart,💛,E0.6 yellow heart,1F49B,smileys-emotion,heart,,yellow heart
e0-6-green-heart,💚,E0.6 green heart,1F49A,smileys-emotion,heart,,green heart
e0-6-blue-heart,💙,E0.6 blue heart,1F499,smileys-emotion,heart,,blue heart
e15-0-light-blue-heart,🩵,E15.0 light blue heart,1FA75,smileys-emotion,heart,,light blue heart
e0-6-purple-heart,💜,E0.6 purple heart,1F49C,smileys-emotion,heart,,purple heart
e12-0-brown-heart,🤎,E12.0 brown heart,1F90E,smileys-emotion,heart,,brown heart
e3-0-black-heart,🖤,E3.0 black heart,1F5A4,smileys-emotion,heart,,black heart
e15-0-grey-heart,🩶,E15.0 grey heart,1FA76,smileys-emotion,heart,,grey heart
e12-0-white-heart,🤍,E12.0 white heart,1F90D,smileys-emotion,heart,,white heart
e0-6-kiss-mark,💋,E0.6 kiss mark,1F48B,smileys-emotion,emotion,,kiss mark
e0-6-hundred-points,💯,E0.6 hundred points,1F4AF,smileys-emotion,emotion,,hundred points
e0-6-anger-symbol,💢,E0.6 anger symbol,1F4A2,smileys-emotion,emotion,,anger symbol
e0-6-collision,💥,E0.6 collision,1F4A5,smileys-emotion,emotion,,collision
e0-6-dizzy,💫,E0.6 dizzy,1F4AB,smileys-emotion,emotion,,dizzy
e0-6-sweat-droplets,💦,E0.6 sweat droplets,1F4A6,smileys-emotion,emotion,,sweat droplets
e0-6-dashing-away,💨,E0.6 dashing away,1F4A8,smileys-emotion,emotion,,dashing away
e0-7-hole,🕳️,E0.7 hole,1F573 FE0F,smileys-emotion,emotion,,hole
e0-6-speech-balloon,💬,E0.6 speech balloon,1F4AC,smileys-emotion,emotion,,speech balloon
e2-0-eye-in-speech-bubble,👁️‍🗨️,E2.0 eye in speech bubble,1F441 FE0F 200D 1F5E8 FE0F,smileys-emotion,emotion,,eye in speech bubble
e2-0-left-speech-bubble,🗨️,E2.0 left speech bubble,1F5E8 FE0F,smileys-emotion,emotion,,left speech bubble
e0-7-right-anger-bubble,🗯️,E0.7 right anger bubble,1F5EF FE0F,smileys-emotion,emotion,,right anger bubble
e1-0-thought-balloon,💭,E1.0 thought balloon,1F4AD,smileys-emotion,emotion,,thought balloon
e0-6-zzz,💤,E0.6 ZZZ,1F4A4,smileys-emotion,emotion,,ZZZ
e0-6-waving-hand,👋,E0.6 waving hand,1F44B,people-body,hand-fingers-open,"[{'slug': 'e1-0-waving-hand-light-skin-tone', 'character': '👋🏻'}, {'slug': 'e1-0-waving-hand-medium-light-skin-tone', 'character': '👋🏼'}, {'slug': 'e1-0-waving-hand-medium-skin-tone', 'character': '👋🏽'}, {'slug': 'e1-0-waving-hand-medium-dark-skin-tone', 'character': '👋🏾'}, {'slug': 'e1-0-waving-hand-dark-skin-tone', 'character': '👋🏿'}]",waving hand
e3-0-raised-back-of-hand,🤚,E3.0 raised back of hand,1F91A,people-body,hand-fingers-open,"[{'slug': 'e3-0-raised-back-of-hand-light-skin-tone', 'character': '🤚🏻'}, {'slug': 'e3-0-raised-back-of-hand-medium-light-skin-tone', 'character': '🤚🏼'}, {'slug': 'e3-0-raised-back-of-hand-medium-skin-tone', 'character': '🤚🏽'}, {'slug': 'e3-0-raised-back-of-hand-medium-dark-skin-tone', 'character': '🤚🏾'}, {'slug': 'e3-0-raised-back-of-hand-dark-skin-tone', 'character': '🤚🏿'}]",raised back of hand
e0-7-hand-with-fingers-splayed,🖐️,E0.7 hand with fingers splayed,1F590 FE0F,people-body,hand-fingers-open,,hand with fingers splayed
e1-0-hand-with-fingers-splayed-light-skin-tone,🖐🏻,E1.0 hand with fingers splayed: light skin tone,1F590 1F3FB,people-body,hand-fingers-open,,hand with fingers splayed: light skin tone
e1-0-hand-with-fingers-splayed-medium-light-skin-tone,🖐🏼,E1.0 hand with fingers splayed: medium-light skin tone,1F590 1F3FC,people-body,hand-fingers-open,,hand with fingers splayed: medium-light skin tone
e1-0-hand-with-fingers-splayed-medium-skin-tone,🖐🏽,E1.0 hand with fingers splayed: medium skin tone,1F590 1F3FD,people-body,hand-fingers-open,,hand with fingers splayed: medium skin tone
e1-0-hand-with-fingers-splayed-medium-dark-skin-tone,🖐🏾,E1.0 hand with fingers splayed: medium-dark skin tone,1F590 1F3FE,people-body,hand-fingers-open,,hand with fingers splayed: medium-dark skin tone
e1-0-hand-with-fingers-splayed-dark-skin-tone,🖐🏿,E1.0 hand with fingers splayed: dark skin tone,1F590 1F3FF,people-body,hand-fingers-open,,hand with fingers splayed: dark skin tone
e0-6-raised-hand,✋,E0.6 raised hand,270B,people-body,hand-fingers-open,"[{'slug': 'e1-0-raised-hand-light-skin-tone', 'character': '✋🏻'}, {'slug': 'e1-0-raised-hand-medium-light-skin-tone', 'character': '✋🏼'}, {'slug': 'e1-0-raised-hand-medium-skin-tone', 'character': '✋🏽'}, {'slug': 'e1-0-raised-hand-medium-dark-skin-tone', 'character': '✋🏾'}, {'slug': 'e1-0-raised-hand-dark-skin-tone', 'character': '✋🏿'}]",raised hand
e1-0-vulcan-salute,🖖,E1.0 vulcan salute,1F596,people-body,hand-fingers-open,"[{'slug': 'e1-0-vulcan-salute-light-skin-tone', 'character': '🖖🏻'}, {'slug': 'e1-0-vulcan-salute-medium-light-skin-tone', 'character': '🖖🏼'}, {'slug': 'e1-0-vulcan-salute-medium-skin-tone', 'character': '🖖🏽'}, {'slug': 'e1-0-vulcan-salute-medium-dark-skin-tone', 'character': '🖖🏾'}, {'slug': 'e1-0-vulcan-salute-dark-skin-tone', 'character': '🖖🏿'}]",vulcan salute
e14-0-rightwards-hand,🫱,E14.0 rightwards hand,1FAF1,people-body,hand-fingers-open,"[{'slug': 'e14-0-rightwards-hand-light-skin-tone', 'character': '🫱🏻'}, {'slug': 'e14-0-rightwards-hand-medium-light-skin-tone', 'character': '🫱🏼'}, {'slug': 'e14-0-rightwards-hand-medium-skin-tone', 'character': '🫱🏽'}, {'slug': 'e14-0-rightwards-hand-medium-dark-skin-tone', 'character': '🫱🏾'}, {'slug': 'e14-0-rightwards-hand-dark-skin-tone', 'character': '🫱🏿'}, {'slug': 'e14-0-handshake-light-skin-tone-medium-skin-tone', 'character': '🫱🏻\u200d🫲🏽'}, {'slug': 'e14-0-handshake-light-skin-tone-medium-dark-skin-tone', 'character': '🫱🏻\u200d🫲🏾'}, {'slug': 'e14-0-handshake-light-skin-tone-dark-skin-tone', 'character': '🫱🏻\u200d🫲🏿'}, {'slug': 'e14-0-handshake-medium-light-skin-tone-light-skin-tone', 'character': '🫱🏼\u200d🫲🏻'}, {'slug': 'e14-0-handshake-medium-light-skin-tone-medium-skin-tone', 'character': '🫱🏼\u200d🫲🏽'}, {'slug': 'e14-0-handshake-medium-light-skin-tone-medium-dark-skin-tone', 'character': '🫱🏼\u200d🫲🏾'}, {'slug': 'e14-0-handshake-medium-light-skin-tone-dark-skin-tone', 'character': '🫱🏼\u200d🫲🏿'}, {'slug': 'e14-0-handshake-medium-skin-tone-light-skin-tone', 'character': '🫱🏽\u200d🫲🏻'}, {'slug': 'e14-0-handshake-medium-skin-tone-medium-light-skin-tone', 'character': '🫱🏽\u200d🫲🏼'}, {'slug': 'e14-0-handshake-medium-skin-tone-medium-dark-skin-tone', 'character': '🫱🏽\u200d🫲🏾'}, {'slug': 'e14-0-handshake-medium-skin-tone-dark-skin-tone', 'character': '🫱🏽\u200d🫲🏿'}, {'slug': 'e14-0-handshake-medium-dark-skin-tone-light-skin-tone', 'character': '🫱🏾\u200d🫲🏻'}, {'slug': 'e14-0-handshake-medium-dark-skin-tone-medium-light-skin-tone', 'character': '🫱🏾\u200d🫲🏼'}, {'slug': 'e14-0-handshake-medium-dark-skin-tone-medium-skin-tone', 'character': '🫱🏾\u200d🫲🏽'}, {'slug': 'e14-0-handshake-medium-dark-skin-tone-dark-skin-tone', 'character': '🫱🏾\u200d🫲🏿'}, {'slug': 'e14-0-handshake-dark-skin-tone-light-skin-tone', 'character': '🫱🏿\u200d🫲🏻'}, {'slug': 'e14-0-handshake-dark-skin-tone-medium-light-skin-tone', 'character': '🫱🏿\u200d🫲🏼'}, {'slug': 'e14-0-handshake-dark-skin-tone-medium-skin-tone', 'character': '🫱🏿\u200d🫲🏽'}, {'slug': 'e14-0-handshake-dark-skin-tone-medium-dark-skin-tone', 'character': '🫱🏿\u200d🫲🏾'}]",rightwards hand
e14-0-leftwards-hand,🫲,E14.0 leftwards hand,1FAF2,people-body,hand-fingers-open,"[{'slug': 'e14-0-leftwards-hand-light-skin-tone', 'character': '🫲🏻'}, {'slug': 'e14-0-leftwards-hand-medium-light-skin-tone', 'character': '🫲🏼'}, {'slug': 'e14-0-leftwards-hand-medium-skin-tone', 'character': '🫲🏽'}, {'slug': 'e14-0-leftwards-hand-medium-dark-skin-tone', 'character': '🫲🏾'}, {'slug': 'e14-0-leftwards-hand-dark-skin-tone', 'character': '🫲🏿'}]",leftwards hand
e14-0-palm-down-hand,🫳,E14.0 palm down hand,1FAF3,people-body,hand-fingers-open,"[{'slug': 'e14-0-palm-down-hand-light-skin-tone', 'character': '🫳🏻'}, {'slug': 'e14-0-palm-down-hand-medium-light-skin-tone', 'character': '🫳🏼'}, {'slug': 'e14-0-palm-down-hand-medium-skin-tone', 'character': '🫳🏽'}, {'slug': 'e14-0-palm-down-hand-medium-dark-skin-tone', 'character': '🫳🏾'}, {'slug': 'e14-0-palm-down-hand-dark-skin-tone', 'character': '🫳🏿'}]",palm down hand
e14-0-palm-up-hand,🫴,E14.0 palm up hand,1FAF4,people-body,hand-fingers-open,"[{'slug': 'e14-0-palm-up-hand-light-skin-tone', 'character': '🫴🏻'}, {'slug': 'e14-0-palm-up-hand-medium-light-skin-tone', 'character': '🫴🏼'}, {'slug': 'e14-0-palm-up-hand-medium-skin-tone', 'character': '🫴🏽'}, {'slug': 'e14-0-palm-up-hand-medium-dark-skin-tone', 'character': '🫴🏾'}, {'slug': 'e14-0-palm-up-hand-dark-skin-tone', 'character': '🫴🏿'}]",palm up hand
e15-0-leftwards-pushing-hand,🫷,E15.0 leftwards pushing hand,1FAF7,people-body,hand-fingers-open,"[{'slug': 'e15-0-leftwards-pushing-hand-light-skin-tone', 'character': '🫷🏻'}, {'slug': 'e15-0-leftwards-pushing-hand-medium-light-skin-tone', 'character': '🫷🏼'}, {'slug': 'e15-0-leftwards-pushing-hand-medium-skin-tone', 'character': '🫷🏽'}, {'slug': 'e15-0-leftwards-pushing-hand-medium-dark-skin-tone', 'character': '🫷🏾'}, {'slug': 'e15-0-leftwards-pushing-hand-dark-skin-tone', 'character': '🫷🏿'}]",leftwards pushing hand
e15-0-rightwards-pushing-hand,🫸,E15.0 rightwards pushing hand,1FAF8,people-body,hand-fingers-open,"[{'slug': 'e15-0-rightwards-pushing-hand-light-skin-tone', 'character': '🫸🏻'}, {'slug': 'e15-0-rightwards-pushing-hand-medium-light-skin-tone', 'character': '🫸🏼'}, {'slug': 'e15-0-rightwards-pushing-hand-medium-skin-tone', 'character': '🫸🏽'}, {'slug': 'e15-0-rightwards-pushing-hand-medium-dark-skin-tone', 'character': '🫸🏾'}, {'slug': 'e15-0-rightwards-pushing-hand-dark-skin-tone', 'character': '🫸🏿'}]",rightwards pushing hand
e0-6-ok-hand,👌,E0.6 OK hand,1F44C,people-body,hand-fingers-partial,"[{'slug': 'e1-0-ok-hand-light-skin-tone', 'character': '👌🏻'}, {'slug': 'e1-0-ok-hand-medium-light-skin-tone', 'character': '👌🏼'}, {'slug': 'e1-0-ok-hand-medium-skin-tone', 'character': '👌🏽'}, {'slug': 'e1-0-ok-hand-medium-dark-skin-tone', 'character': '👌🏾'}, {'slug': 'e1-0-ok-hand-dark-skin-tone', 'character': '👌🏿'}]",OK hand
