name,category,group,htmlCode,unicode
"right-facing fist, type-1-2",smileys and people,body,"['&#129308;', '&#127995;']","['U+1F91C', 'U+1F3FB']"
"right-facing fist, type-3",smileys and people,body,"['&#129308;', '&#127996;']","['U+1F91C', 'U+1F3FC']"
"right-facing fist, type-4",smileys and people,body,"['&#129308;', '&#127997;']","['U+1F91C', 'U+1F3FD']"
"right-facing fist, type-5",smileys and people,body,"['&#129308;', '&#127998;']","['U+1F91C', 'U+1F3FE']"
"right-facing fist, type-6",smileys and people,body,"['&#129308;', '&#127999;']","['U+1F91C', 'U+1F3FF']"
raised back of hand,smileys and people,body,['&#129306;'],['U+1F91A']
"raised back of hand, type-1-2",smileys and people,body,"['&#129306;', '&#127995;']","['U+1F91A', 'U+1F3FB']"
"raised back of hand, type-3",smileys and people,body,"['&#129306;', '&#127996;']","['U+1F91A', 'U+1F3FC']"
"raised back of hand, type-4",smileys and people,body,"['&#129306;', '&#127997;']","['U+1F91A', 'U+1F3FD']"
"raised back of hand, type-5",smileys and people,body,"['&#129306;', '&#127998;']","['U+1F91A', 'U+1F3FE']"
"raised back of hand, type-6",smileys and people,body,"['&#129306;', '&#127999;']","['U+1F91A', 'U+1F3FF']"
waving hand sign ≊ waving hand,smileys and people,body,['&#128075;'],['U+1F44B']
"waving hand, type-1-2",smileys and people,body,"['&#128075;', '&#127995;']","['U+1F44B', 'U+1F3FB']"
"waving hand, type-3",smileys and people,body,"['&#128075;', '&#127996;']","['U+1F44B', 'U+1F3FC']"
"waving hand, type-4",smileys and people,body,"['&#128075;', '&#127997;']","['U+1F44B', 'U+1F3FD']"
"waving hand, type-5",smileys and people,body,"['&#128075;', '&#127998;']","['U+1F44B', 'U+1F3FE']"
"waving hand, type-6",smileys and people,body,"['&#128075;', '&#127999;']","['U+1F44B', 'U+1F3FF']"
clapping hands sign ≊ clapping hands,smileys and people,body,['&#128079;'],['U+1F44F']
"clapping hands, type-1-2",smileys and people,body,"['&#128079;', '&#127995;']","['U+1F44F', 'U+1F3FB']"
"clapping hands, type-3",smileys and people,body,"['&#128079;', '&#127996;']","['U+1F44F', 'U+1F3FC']"
"clapping hands, type-4",smileys and people,body,"['&#128079;', '&#127997;']","['U+1F44F', 'U+1F3FD']"
"clapping hands, type-5",smileys and people,body,"['&#128079;', '&#127998;']","['U+1F44F', 'U+1F3FE']"
"clapping hands, type-6",smileys and people,body,"['&#128079;', '&#127999;']","['U+1F44F', 'U+1F3FF']"
writing hand,smileys and people,body,['&#9997;'],['U+270D']
"writing hand, type-1-2",smileys and people,body,"['&#9997;', '&#127995;']","['U+270D', 'U+1F3FB']"
"writing hand, type-3",smileys and people,body,"['&#9997;', '&#127996;']","['U+270D', 'U+1F3FC']"
"writing hand, type-4",smileys and people,body,"['&#9997;', '&#127997;']","['U+270D', 'U+1F3FD']"
"writing hand, type-5",smileys and people,body,"['&#9997;', '&#127998;']","['U+270D', 'U+1F3FE']"
"writing hand, type-6",smileys and people,body,"['&#9997;', '&#127999;']","['U+270D', 'U+1F3FF']"
open hands sign ≊ open hands,smileys and people,body,['&#128080;'],['U+1F450']
"open hands, type-1-2",smileys and people,body,"['&#128080;', '&#127995;']","['U+1F450', 'U+1F3FB']"
"open hands, type-3",smileys and people,body,"['&#128080;', '&#127996;']","['U+1F450', 'U+1F3FC']"
"open hands, type-4",smileys and people,body,"['&#128080;', '&#127997;']","['U+1F450', 'U+1F3FD']"
"open hands, type-5",smileys and people,body,"['&#128080;', '&#127998;']","['U+1F450', 'U+1F3FE']"
"open hands, type-6",smileys and people,body,"['&#128080;', '&#127999;']","['U+1F450', 'U+1F3FF']"
person raising both hands in celebration ≊ person raising hands,smileys and people,body,['&#128588;'],['U+1F64C']
"person raising hands, type-1-2",smileys and people,body,"['&#128588;', '&#127995;']","['U+1F64C', 'U+1F3FB']"
"person raising hands, type-3",smileys and people,body,"['&#128588;', '&#127996;']","['U+1F64C', 'U+1F3FC']"
"person raising hands, type-4",smileys and people,body,"['&#128588;', '&#127997;']","['U+1F64C', 'U+1F3FD']"
"person raising hands, type-5",smileys and people,body,"['&#128588;', '&#127998;']","['U+1F64C', 'U+1F3FE']"
"person raising hands, type-6",smileys and people,body,"['&#128588;', '&#127999;']","['U+1F64C', 'U+1F3FF']"
person with folded hands ≊ folded hands,smileys and people,body,['&#128591;'],['U+1F64F']
"folded hands, type-1-2",smileys and people,body,"['&#128591;', '&#127995;']","['U+1F64F', 'U+1F3FB']"
"folded hands, type-3",smileys and people,body,"['&#128591;', '&#127996;']","['U+1F64F', 'U+1F3FC']"
"folded hands, type-4",smileys and people,body,"['&#128591;', '&#127997;']","['U+1F64F', 'U+1F3FD']"
"folded hands, type-5",smileys and people,body,"['&#128591;', '&#127998;']","['U+1F64F', 'U+1F3FE']"
"folded hands, type-6",smileys and people,body,"['&#128591;', '&#127999;']","['U+1F64F', 'U+1F3FF']"
handshake,smileys and people,body,['&#129309;'],['U+1F91D']
"handshake, type-1-2",smileys and people,body,"['&#129309;', '&#127995;']","['U+1F91D', 'U+1F3FB']"
"handshake, type-3",smileys and people,body,"['&#129309;', '&#127996;']","['U+1F91D', 'U+1F3FC']"
"handshake, type-4",smileys and people,body,"['&#129309;', '&#127997;']","['U+1F91D', 'U+1F3FD']"
"handshake, type-5",smileys and people,body,"['&#129309;', '&#127998;']","['U+1F91D', 'U+1F3FE']"
"handshake, type-6",smileys and people,body,"['&#129309;', '&#127999;']","['U+1F91D', 'U+1F3FF']"
nail polish,smileys and people,body,['&#128133;'],['U+1F485']
"nail polish, type-1-2",smileys and people,body,"['&#128133;', '&#127995;']","['U+1F485', 'U+1F3FB']"
"nail polish, type-3",smileys and people,body,"['&#128133;', '&#127996;']","['U+1F485', 'U+1F3FC']"
"nail polish, type-4",smileys and people,body,"['&#128133;', '&#127997;']","['U+1F485', 'U+1F3FD']"
"nail polish, type-5",smileys and people,body,"['&#128133;', '&#127998;']","['U+1F485', 'U+1F3FE']"
"nail polish, type-6",smileys and people,body,"['&#128133;', '&#127999;']","['U+1F485', 'U+1F3FF']"
ear,smileys and people,body,['&#128066;'],['U+1F442']
"ear, type-1-2",smileys and people,body,"['&#128066;', '&#127995;']","['U+1F442', 'U+1F3FB']"
"ear, type-3",smileys and people,body,"['&#128066;', '&#127996;']","['U+1F442', 'U+1F3FC']"
"ear, type-4",smileys and people,body,"['&#128066;', '&#127997;']","['U+1F442', 'U+1F3FD']"
"ear, type-5",smileys and people,body,"['&#128066;', '&#127998;']","['U+1F442', 'U+1F3FE']"
"ear, type-6",smileys and people,body,"['&#128066;', '&#127999;']","['U+1F442', 'U+1F3FF']"
nose,smileys and people,body,['&#128067;'],['U+1F443']
"nose, type-1-2",smileys and people,body,"['&#128067;', '&#127995;']","['U+1F443', 'U+1F3FB']"
"nose, type-3",smileys and people,body,"['&#128067;', '&#127996;']","['U+1F443', 'U+1F3FC']"
"nose, type-4",smileys and people,body,"['&#128067;', '&#127997;']","['U+1F443', 'U+1F3FD']"
"nose, type-5",smileys and people,body,"['&#128067;', '&#127998;']","['U+1F443', 'U+1F3FE']"
"nose, type-6",smileys and people,body,"['&#128067;', '&#127999;']","['U+1F443', 'U+1F3FF']"
footprints,smileys and people,body,['&#128099;'],['U+1F463']
eyes,smileys and people,body,['&#128064;'],['U+1F440']
eye,smileys and people,body,['&#128065;'],['U+1F441']
"eye, left speech bubble",smileys and people,body,"['&#128065;', '&#8205;', '&#128488;']","['U+1F441', 'U+200D', 'U+1F5E8']"
tongue,smileys and people,body,['&#128069;'],['U+1F445']
mouth,smileys and people,body,['&#128068;'],['U+1F444']
kiss mark,smileys and people,body,['&#128139;'],['U+1F48B']
heart with arrow,smileys and people,emotion,['&#128152;'],['U+1F498']
heavy black heart ≊ red heart,smileys and people,emotion,['&#10084;'],['U+2764']
beating heart,smileys and people,emotion,['&#128147;'],['U+1F493']
broken heart,smileys and people,emotion,['&#128148;'],['U+1F494']
two hearts,smileys and people,emotion,['&#128149;'],['U+1F495']
sparkling heart,smileys and people,emotion,['&#128150;'],['U+1F496']
growing heart,smileys and people,emotion,['&#128151;'],['U+1F497']
blue heart,smileys and people,emotion,['&#128153;'],['U+1F499']
green heart,smileys and people,emotion,['&#128154;'],['U+1F49A']
yellow heart,smileys and people,emotion,['&#128155;'],['U+1F49B']
purple heart,smileys and people,emotion,['&#128156;'],['U+1F49C']
black heart,smileys and people,emotion,['&#128420;'],['U+1F5A4']
heart with ribbon,smileys and people,emotion,['&#128157;'],['U+1F49D']
revolving hearts,smileys and people,emotion,['&#128158;'],['U+1F49E']
heart decoration,smileys and people,emotion,['&#128159;'],['U+1F49F']
heavy heart exclamation mark ornament ≊ heavy heart exclamation,smileys and people,emotion,['&#10083;'],['U+2763']
love letter,smileys and people,emotion,['&#128140;'],['U+1F48C']
sleeping symbol ≊ zzz,smileys and people,emotion,['&#128164;'],['U+1F4A4']
anger symbol,smileys and people,emotion,['&#128162;'],['U+1F4A2']
bomb,smileys and people,emotion,['&#128163;'],['U+1F4A3']
collision symbol ≊ collision,smileys and people,emotion,['&#128165;'],['U+1F4A5']
splashing sweat symbol ≊ sweat droplets,smileys and people,emotion,['&#128166;'],['U+1F4A6']
dash symbol ≊ dashing,smileys and people,emotion,['&#128168;'],['U+1F4A8']
dizzy symbol ≊ dizzy,smileys and people,emotion,['&#128171;'],['U+1F4AB']
speech balloon,smileys and people,emotion,['&#128172;'],['U+1F4AC']
left speech bubble,smileys and people,emotion,['&#128488;'],['U+1F5E8']
right anger bubble,smileys and people,emotion,['&#128495;'],['U+1F5EF']
thought balloon,smileys and people,emotion,['&#128173;'],['U+1F4AD']
hole,smileys and people,emotion,['&#128371;'],['U+1F573']
eyeglasses ≊ glasses,smileys and people,clothing,['&#128083;'],['U+1F453']
dark sunglasses ≊ sunglasses,smileys and people,clothing,['&#128374;'],['U+1F576']
necktie,smileys and people,clothing,['&#128084;'],['U+1F454']
t-shirt,smileys and people,clothing,['&#128085;'],['U+1F455']
jeans,smileys and people,clothing,['&#128086;'],['U+1F456']
dress,smileys and people,clothing,['&#128087;'],['U+1F457']
kimono,smileys and people,clothing,['&#128088;'],['U+1F458']
bikini,smileys and people,clothing,['&#128089;'],['U+1F459']
womans clothes ≊ womanâ€™s clothes,smileys and people,clothing,['&#128090;'],['U+1F45A']
purse,smileys and people,clothing,['&#128091;'],['U+1F45B']
handbag,smileys and people,clothing,['&#128092;'],['U+1F45C']
pouch,smileys and people,clothing,['&#128093;'],['U+1F45D']
shopping bags,smileys and people,clothing,['&#128717;'],['U+1F6CD']
school satchel ≊ school backpack,smileys and people,clothing,['&#127890;'],['U+1F392']
mans shoe ≊ manâ€™s shoe,smileys and people,clothing,['&#128094;'],['U+1F45E']
athletic shoe ≊ running shoe,smileys and people,clothing,['&#128095;'],['U+1F45F']
high-heeled shoe,smileys and people,clothing,['&#128096;'],['U+1F460']
womans sandal ≊ womanâ€™s sandal,smileys and people,clothing,['&#128097;'],['U+1F461']
womans boots ≊ womanâ€™s boot,smileys and people,clothing,['&#128098;'],['U+1F462']
crown,smileys and people,clothing,['&#128081;'],['U+1F451']
womans hat ≊ womanâ€™s hat,smileys and people,clothing,['&#128082;'],['U+1F452']
top hat,smileys and people,clothing,['&#127913;'],['U+1F3A9']
graduation cap,smileys and people,clothing,['&#127891;'],['U+1F393']
helmet with white cross,smileys and people,clothing,['&#9937;'],['U+26D1']
prayer beads,smileys and people,clothing,['&#128255;'],['U+1F4FF']
lipstick,smileys and people,clothing,['&#128132;'],['U+1F484']
ring,smileys and people,clothing,['&#128141;'],['U+1F48D']
gem stone,smileys and people,clothing,['&#128142;'],['U+1F48E']
monkey face,animals and nature,animal mammal,['&#128053;'],['U+1F435']
monkey,animals and nature,animal mammal,['&#128018;'],['U+1F412']
gorilla,animals and nature,animal mammal,['&#129421;'],['U+1F98D']
dog face,animals and nature,animal mammal,['&#128054;'],['U+1F436']
dog,animals and nature,animal mammal,['&#128021;'],['U+1F415']
poodle,animals and nature,animal mammal,['&#128041;'],['U+1F429']
wolf face,animals and nature,animal mammal,['&#128058;'],['U+1F43A']
fox face,animals and nature,animal mammal,['&#129418;'],['U+1F98A']
cat face,animals and nature,animal mammal,['&#128049;'],['U+1F431']
cat,animals and nature,animal mammal,['&#128008;'],['U+1F408']
lion face,animals and nature,animal mammal,['&#129409;'],['U+1F981']
tiger face,animals and nature,animal mammal,['&#128047;'],['U+1F42F']
tiger,animals and nature,animal mammal,['&#128005;'],['U+1F405']
leopard,animals and nature,animal mammal,['&#128006;'],['U+1F406']
horse face,animals and nature,animal mammal,['&#128052;'],['U+1F434']
horse,animals and nature,animal mammal,['&#128014;'],['U+1F40E']
deer,animals and nature,animal mammal,['&#129420;'],['U+1F98C']
unicorn face,animals and nature,animal mammal,['&#129412;'],['U+1F984']
cow face,animals and nature,animal mammal,['&#128046;'],['U+1F42E']
ox,animals and nature,animal mammal,['&#128002;'],['U+1F402']
water buffalo,animals and nature,animal mammal,['&#128003;'],['U+1F403']
cow,animals and nature,animal mammal,['&#128004;'],['U+1F404']
pig face,animals and nature,animal mammal,['&#128055;'],['U+1F437']
pig,animals and nature,animal mammal,['&#128022;'],['U+1F416']
boar,animals and nature,animal mammal,['&#128023;'],['U+1F417']
pig nose,animals and nature,animal mammal,['&#128061;'],['U+1F43D']
ram,animals and nature,animal mammal,['&#128015;'],['U+1F40F']
sheep,animals and nature,animal mammal,['&#128017;'],['U+1F411']
goat,animals and nature,animal mammal,['&#128016;'],['U+1F410']
dromedary camel ≊ camel,animals and nature,animal mammal,['&#128042;'],['U+1F42A']
bactrian camel ≊ two-hump camel,animals and nature,animal mammal,['&#128043;'],['U+1F42B']
elephant,animals and nature,animal mammal,['&#128024;'],['U+1F418']
rhinoceros,animals and nature,animal mammal,['&#129423;'],['U+1F98F']
mouse face,animals and nature,animal mammal,['&#128045;'],['U+1F42D']
mouse,animals and nature,animal mammal,['&#128001;'],['U+1F401']
rat,animals and nature,animal mammal,['&#128000;'],['U+1F400']
hamster face,animals and nature,animal mammal,['&#128057;'],['U+1F439']
rabbit face,animals and nature,animal mammal,['&#128048;'],['U+1F430']
rabbit,animals and nature,animal mammal,['&#128007;'],['U+1F407']
chipmunk,animals and nature,animal mammal,['&#128063;'],['U+1F43F']
bat,animals and nature,animal mammal,['&#129415;'],['U+1F987']
bear face,animals and nature,animal mammal,['&#128059;'],['U+1F43B']
koala,animals and nature,animal mammal,['&#128040;'],['U+1F428']
panda face,animals and nature,animal mammal,['&#128060;'],['U+1F43C']
paw prints,animals and nature,animal mammal,['&#128062;'],['U+1F43E']
turkey,animals and nature,animal bird,['&#129411;'],['U+1F983']
chicken,animals and nature,animal bird,['&#128020;'],['U+1F414']
rooster,animals and nature,animal bird,['&#128019;'],['U+1F413']
hatching chick,animals and nature,animal bird,['&#128035;'],['U+1F423']
baby chick,animals and nature,animal bird,['&#128036;'],['U+1F424']
front-facing baby chick,animals and nature,animal bird,['&#128037;'],['U+1F425']
bird,animals and nature,animal bird,['&#128038;'],['U+1F426']
penguin,animals and nature,animal bird,['&#128039;'],['U+1F427']
dove of peace ≊ dove,animals and nature,animal bird,['&#128330;'],['U+1F54A']
eagle,animals and nature,animal bird,['&#129413;'],['U+1F985']
duck,animals and nature,animal bird,['&#129414;'],['U+1F986']
owl,animals and nature,animal bird,['&#129417;'],['U+1F989']
frog face,animals and nature,animal amphibian,['&#128056;'],['U+1F438']
crocodile,animals and nature,animal reptile,['&#128010;'],['U+1F40A']
turtle,animals and nature,animal reptile,['&#128034;'],['U+1F422']
lizard,animals and nature,animal reptile,['&#129422;'],['U+1F98E']
snake,animals and nature,animal reptile,['&#128013;'],['U+1F40D']
dragon face,animals and nature,animal reptile,['&#128050;'],['U+1F432']
dragon,animals and nature,animal reptile,['&#128009;'],['U+1F409']
spouting whale,animals and nature,animal marine,['&#128051;'],['U+1F433']
whale,animals and nature,animal marine,['&#128011;'],['U+1F40B']
dolphin,animals and nature,animal marine,['&#128044;'],['U+1F42C']
fish,animals and nature,animal marine,['&#128031;'],['U+1F41F']
tropical fish,animals and nature,animal marine,['&#128032;'],['U+1F420']
blowfish,animals and nature,animal marine,['&#128033;'],['U+1F421']
shark,animals and nature,animal marine,['&#129416;'],['U+1F988']
octopus,animals and nature,animal marine,['&#128025;'],['U+1F419']
spiral shell,animals and nature,animal marine,['&#128026;'],['U+1F41A']
crab,animals and nature,animal marine,['&#129408;'],['U+1F980']
shrimp,animals and nature,animal marine,['&#129424;'],['U+1F990']
squid,animals and nature,animal marine,['&#129425;'],['U+1F991']
butterfly,animals and nature,animal bug,['&#129419;'],['U+1F98B']
snail,animals and nature,animal bug,['&#128012;'],['U+1F40C']
bug,animals and nature,animal bug,['&#128027;'],['U+1F41B']
ant,animals and nature,animal bug,['&#128028;'],['U+1F41C']
honeybee,animals and nature,animal bug,['&#128029;'],['U+1F41D']
lady beetle,animals and nature,animal bug,['&#128030;'],['U+1F41E']
spider,animals and nature,animal bug,['&#128375;'],['U+1F577']
spider web,animals and nature,animal bug,['&#128376;'],['U+1F578']
scorpion,animals and nature,animal bug,['&#129410;'],['U+1F982']
bouquet,animals and nature,plant flower,['&#128144;'],['U+1F490']
cherry blossom,animals and nature,plant flower,['&#127800;'],['U+1F338']
white flower,animals and nature,plant flower,['&#128174;'],['U+1F4AE']
rosette,animals and nature,plant flower,['&#127989;'],['U+1F3F5']
rose,animals and nature,plant flower,['&#127801;'],['U+1F339']
wilted flower,animals and nature,plant flower,['&#129344;'],['U+1F940']
hibiscus,animals and nature,plant flower,['&#127802;'],['U+1F33A']
sunflower,animals and nature,plant flower,['&#127803;'],['U+1F33B']
blossom,animals and nature,plant flower,['&#127804;'],['U+1F33C']
tulip,animals and nature,plant flower,['&#127799;'],['U+1F337']
seedling,animals and nature,plant other,['&#127793;'],['U+1F331']
evergreen tree ≊ evergreen,animals and nature,plant other,['&#127794;'],['U+1F332']
deciduous tree,animals and nature,plant other,['&#127795;'],['U+1F333']
palm tree,animals and nature,plant other,['&#127796;'],['U+1F334']
cactus,animals and nature,plant other,['&#127797;'],['U+1F335']
ear of rice ≊ sheaf of rice,animals and nature,plant other,['&#127806;'],['U+1F33E']
herb,animals and nature,plant other,['&#127807;'],['U+1F33F']
shamrock,animals and nature,plant other,['&#9752;'],['U+2618']
four leaf clover,animals and nature,plant other,['&#127808;'],['U+1F340']
maple leaf,animals and nature,plant other,['&#127809;'],['U+1F341']
fallen leaf,animals and nature,plant other,['&#127810;'],['U+1F342']
leaf fluttering in wind,animals and nature,plant other,['&#127811;'],['U+1F343']
grapes,food and drink,food fruit,['&#127815;'],['U+1F347']
melon,food and drink,food fruit,['&#127816;'],['U+1F348']
watermelon,food and drink,food fruit,['&#127817;'],['U+1F349']
tangerine,food and drink,food fruit,['&#127818;'],['U+1F34A']
lemon,food and drink,food fruit,['&#127819;'],['U+1F34B']
banana,food and drink,food fruit,['&#127820;'],['U+1F34C']
pineapple,food and drink,food fruit,['&#127821;'],['U+1F34D']
red apple,food and drink,food fruit,['&#127822;'],['U+1F34E']
green apple,food and drink,food fruit,['&#127823;'],['U+1F34F']
pear,food and drink,food fruit,['&#127824;'],['U+1F350']
peach,food and drink,food fruit,['&#127825;'],['U+1F351']
cherries,food and drink,food fruit,['&#127826;'],['U+1F352']
strawberry,food and drink,food fruit,['&#127827;'],['U+1F353']
kiwifruit,food and drink,food fruit,['&#129373;'],['U+1F95D']
tomato,food and drink,food fruit,['&#127813;'],['U+1F345']
avocado,food and drink,food vegetable,['&#129361;'],['U+1F951']
aubergine ≊ eggplant,food and drink,food vegetable,['&#127814;'],['U+1F346']
potato,food and drink,food vegetable,['&#129364;'],['U+1F954']
carrot,food and drink,food vegetable,['&#129365;'],['U+1F955']
ear of maize ≊ ear of corn,food and drink,food vegetable,['&#127805;'],['U+1F33D']
hot pepper,food and drink,food vegetable,['&#127798;'],['U+1F336']
cucumber,food and drink,food vegetable,['&#129362;'],['U+1F952']
mushroom,food and drink,food vegetable,['&#127812;'],['U+1F344']
peanuts,food and drink,food vegetable,['&#129372;'],['U+1F95C']
chestnut,food and drink,food vegetable,['&#127792;'],['U+1F330']
bread,food and drink,food prepared,['&#127838;'],['U+1F35E']
croissant,food and drink,food prepared,['&#129360;'],['U+1F950']
baguette bread,food and drink,food prepared,['&#129366;'],['U+1F956']
pancakes,food and drink,food prepared,['&#129374;'],['U+1F95E']
cheese wedge,food and drink,food prepared,['&#129472;'],['U+1F9C0']
meat on bone,food and drink,food prepared,['&#127830;'],['U+1F356']
poultry leg,food and drink,food prepared,['&#127831;'],['U+1F357']
bacon,food and drink,food prepared,['&#129363;'],['U+1F953']
hamburger,food and drink,food prepared,['&#127828;'],['U+1F354']
french fries,food and drink,food prepared,['&#127839;'],['U+1F35F']
slice of pizza ≊ pizza,food and drink,food prepared,['&#127829;'],['U+1F355']
hot dog,food and drink,food prepared,['&#127789;'],['U+1F32D']
taco,food and drink,food prepared,['&#127790;'],['U+1F32E']
burrito,food and drink,food prepared,['&#127791;'],['U+1F32F']
stuffed flatbread,food and drink,food prepared,['&#129369;'],['U+1F959']
egg,food and drink,food prepared,['&#129370;'],['U+1F95A']
cooking,food and drink,food prepared,['&#127859;'],['U+1F373']
shallow pan of food,food and drink,food prepared,['&#129368;'],['U+1F958']
pot of food,food and drink,food prepared,['&#127858;'],['U+1F372']
green salad,food and drink,food prepared,['&#129367;'],['U+1F957']
popcorn,food and drink,food prepared,['&#127871;'],['U+1F37F']
bento box,food and drink,food asian,['&#127857;'],['U+1F371']
rice cracker,food and drink,food asian,['&#127832;'],['U+1F358']
rice ball,food and drink,food asian,['&#127833;'],['U+1F359']
cooked rice,food and drink,food asian,['&#127834;'],['U+1F35A']
curry and rice ≊ curry rice,food and drink,food asian,['&#127835;'],['U+1F35B']
steaming bowl,food and drink,food asian,['&#127836;'],['U+1F35C']
spaghetti,food and drink,food asian,['&#127837;'],['U+1F35D']
roasted sweet potato,food and drink,food asian,['&#127840;'],['U+1F360']
oden,food and drink,food asian,['&#127842;'],['U+1F362']
sushi,food and drink,food asian,['&#127843;'],['U+1F363']
fried shrimp,food and drink,food asian,['&#127844;'],['U+1F364']
fish cake with swirl design ≊ fish cake with swirl,food and drink,food asian,['&#127845;'],['U+1F365']
dango,food and drink,food asian,['&#127841;'],['U+1F361']
soft ice cream,food and drink,food sweet,['&#127846;'],['U+1F366']
shaved ice,food and drink,food sweet,['&#127847;'],['U+1F367']
ice cream,food and drink,food sweet,['&#127848;'],['U+1F368']
doughnut,food and drink,food sweet,['&#127849;'],['U+1F369']
cookie,food and drink,food sweet,['&#127850;'],['U+1F36A']
birthday cake,food and drink,food sweet,['&#127874;'],['U+1F382']
shortcake,food and drink,food sweet,['&#127856;'],['U+1F370']
chocolate bar,food and drink,food sweet,['&#127851;'],['U+1F36B']
candy,food and drink,food sweet,['&#127852;'],['U+1F36C']
lollipop,food and drink,food sweet,['&#127853;'],['U+1F36D']
custard,food and drink,food sweet,['&#127854;'],['U+1F36E']
honey pot,food and drink,food sweet,['&#127855;'],['U+1F36F']
baby bottle,food and drink,drink,['&#127868;'],['U+1F37C']
glass of milk,food and drink,drink,['&#129371;'],['U+1F95B']
hot beverage,food and drink,drink,['&#9749;'],['U+2615']
teacup without handle,food and drink,drink,['&#127861;'],['U+1F375']
sake bottle and cup ≊ sake,food and drink,drink,['&#127862;'],['U+1F376']
bottle with popping cork,food and drink,drink,['&#127870;'],['U+1F37E']
wine glass,food and drink,drink,['&#127863;'],['U+1F377']
cocktail glass,food and drink,drink,['&#127864;'],['U+1F378']
tropical drink,food and drink,drink,['&#127865;'],['U+1F379']
beer mug,food and drink,drink,['&#127866;'],['U+1F37A']
clinking beer mugs,food and drink,drink,['&#127867;'],['U+1F37B']
clinking glasses,food and drink,drink,['&#129346;'],['U+1F942']
tumbler glass,food and drink,drink,['&#129347;'],['U+1F943']
fork and knife with plate,food and drink,dishware,['&#127869;'],['U+1F37D']
fork and knife,food and drink,dishware,['&#127860;'],['U+1F374']
spoon,food and drink,dishware,['&#129348;'],['U+1F944']
hocho ≊ kitchen knife,food and drink,dishware,['&#128298;'],['U+1F52A']
amphora,food and drink,dishware,['&#127994;'],['U+1F3FA']
earth globe europe-africa ≊ globe showing europe-africa,travel and places,travel and places,['&#127757;'],['U+1F30D']
earth globe americas ≊ globe showing americas,travel and places,travel and places,['&#127758;'],['U+1F30E']
earth globe asia-australia ≊ globe showing asia-australia,travel and places,travel and places,['&#127759;'],['U+1F30F']
globe with meridians,travel and places,travel and places,['&#127760;'],['U+1F310']
world map,travel and places,travel and places,['&#128506;'],['U+1F5FA']
silhouette of japan ≊ map of japan,travel and places,travel and places,['&#128510;'],['U+1F5FE']
snow capped mountain ≊ snow-capped mountain,travel and places,travel and places,['&#127956;'],['U+1F3D4']
mountain,travel and places,travel and places,['&#9968;'],['U+26F0']
volcano,travel and places,travel and places,['&#127755;'],['U+1F30B']
mount fuji,travel and places,travel and places,['&#128507;'],['U+1F5FB']
camping,travel and places,travel and places,['&#127957;'],['U+1F3D5']
beach with umbrella,travel and places,travel and places,['&#127958;'],['U+1F3D6']
desert,travel and places,travel and places,['&#127964;'],['U+1F3DC']
desert island,travel and places,travel and places,['&#127965;'],['U+1F3DD']
national park,travel and places,travel and places,['&#127966;'],['U+1F3DE']
stadium,travel and places,travel and places,['&#127967;'],['U+1F3DF']
classical building,travel and places,travel and places,['&#127963;'],['U+1F3DB']
building construction,travel and places,travel and places,['&#127959;'],['U+1F3D7']
house buildings,travel and places,travel and places,['&#127960;'],['U+1F3D8']
cityscape,travel and places,travel and places,['&#127961;'],['U+1F3D9']
derelict house building,travel and places,travel and places,['&#127962;'],['U+1F3DA']
house building,travel and places,travel and places,['&#127968;'],['U+1F3E0']
house with garden,travel and places,travel and places,['&#127969;'],['U+1F3E1']
office building,travel and places,travel and places,['&#127970;'],['U+1F3E2']
japanese post office,travel and places,travel and places,['&#127971;'],['U+1F3E3']
european post office ≊ post office,travel and places,travel and places,['&#127972;'],['U+1F3E4']
hospital,travel and places,travel and places,['&#127973;'],['U+1F3E5']
bank,travel and places,travel and places,['&#127974;'],['U+1F3E6']
hotel,travel and places,travel and places,['&#127976;'],['U+1F3E8']
love hotel,travel and places,travel and places,['&#127977;'],['U+1F3E9']
convenience store,travel and places,travel and places,['&#127978;'],['U+1F3EA']
school,travel and places,travel and places,['&#127979;'],['U+1F3EB']
department store,travel and places,travel and places,['&#127980;'],['U+1F3EC']
factory,travel and places,travel and places,['&#127981;'],['U+1F3ED']
japanese castle,travel and places,travel and places,['&#127983;'],['U+1F3EF']
european castle ≊ castle,travel and places,travel and places,['&#127984;'],['U+1F3F0']
wedding,travel and places,travel and places,['&#128146;'],['U+1F492']
tokyo tower,travel and places,travel and places,['&#128508;'],['U+1F5FC']
statue of liberty,travel and places,travel and places,['&#128509;'],['U+1F5FD']
church,travel and places,travel and places,['&#9962;'],['U+26EA']
mosque,travel and places,travel and places,['&#128332;'],['U+1F54C']
synagogue,travel and places,travel and places,['&#128333;'],['U+1F54D']
shinto shrine,travel and places,travel and places,['&#9961;'],['U+26E9']
kaaba,travel and places,travel and places,['&#128331;'],['U+1F54B']
fountain,travel and places,travel and places,['&#9970;'],['U+26F2']
tent,travel and places,travel and places,['&#9978;'],['U+26FA']
foggy,travel and places,travel and places,['&#127745;'],['U+1F301']
night with stars,travel and places,travel and places,['&#127747;'],['U+1F303']
sunrise over mountains,travel and places,travel and places,['&#127748;'],['U+1F304']
sunrise,travel and places,travel and places,['&#127749;'],['U+1F305']
cityscape at dusk,travel and places,travel and places,['&#127750;'],['U+1F306']
sunset over buildings ≊ sunset,travel and places,travel and places,['&#127751;'],['U+1F307']
